T,OTU,Replicate,fit_start,fit_end
38,7,R4,61.2,269.8
38,7,R5,63.2,272.9
38,8,R1,75.2,248.8
38,8,R2,78.2,247.8
38,8,R3,77.2,269.8
38,8,R4,83.2,241.7
38,8,R5,75.2,237.7
38,9,R1,61.2,245.8
38,9,R2,70.2,278.9
38,9,R3,79.2,254.8
38,9,R4,70.2,277.9
38,9,R5,67.2,241.7
38,10,R1,78.2,252.8
38,10,R2,90.3,277.9
38,10,R3,76.2,268.8
38,10,R4,82.2,215.7
38,10,R5,88.3,243.7
38,11,R1,76.2,252.8
38,11,R2,85.3,267.8
38,11,R3,88.3,263.8
38,11,R4,85.3,266.8
38,11,R5,82.2,263.8
38,12,R1,67.2,226.7
38,12,R2,76.2,232.7
38,12,R3,85.3,232.7
38,12,R4,77.2,224.7
38,12,R5,64.2,224.7
38,13,R1,116.3,353.1
38,13,R2,115.3,341.1
38,13,R3,146.4,359.2
38,13,R4,142.4,379.3
38,13,R5,100.3,515.8
38,14,R1,123.4,331.1
38,14,R2,125.4,343.1
38,14,R3,108.3,329.1
38,14,R4,142.4,345.1
38,14,R5,142.4,325.1
38,15,R1,106.3,288.9
38,15,R2,112.3,336.1
38,15,R3,120.3,264.8
38,15,R4,121.3,263.8
38,15,R5,128.4,277.9
38,16,R1,70.2,277.8
38,16,R2,85.2,279.8
38,16,R3,77.2,298.9
38,16,R4,42.1,238.7
38,16,R5,74.2,290.8
38,17,R1,79.2,283.8
38,17,R2,62.2,252.7
38,17,R3,96.3,254.7
38,17,R4,82.2,292.8
38,17,R5,86.2,294.9
38,18,R1,110.3,358
38,18,R2,99.3,367.1
38,18,R3,87.2,401.2
38,18,R4,98.3,342
38,18,R5,87.2,357
40,1,R1,78.2,236.7
40,1,R2,68.2,236.7
40,1,R3,77.2,270.8
40,1,R4,50.1,232.7
40,1,R5,75.2,228.7
40,2,R1,55.1,229.7
40,2,R2,69.2,237.7
40,2,R3,68.2,242.8
40,2,R4,47.1,251.8
40,2,R5,65.2,214.7
40,3,R1,62.1,263.8
40,3,R2,50.1,204.6
40,3,R3,75.2,213.6
40,3,R4,74.2,209.6
40,3,R5,43.1,224.7
40,4,R1,116.4,302
40,4,R2,80.2,302
40,4,R3,59.2,354.1
40,4,R4,64.2,289
40,4,R5,68.2,340.1
40,5,R1,68.2,380.2
40,5,R2,89.3,274.9
40,5,R3,122.4,398.3
40,5,R4,78.2,364.2
40,5,R5,71.2,243.8
40,6,R1,47.1,327.1
40,6,R2,82.3,270.9
40,6,R3,71.2,275.9
40,6,R4,80.2,258.8
40,6,R5,72.2,322
40,7,R1,74.3,238.8
40,7,R2,66.2,263.9
40,7,R3,95.3,298
40,7,R4,88.3,268.9
40,7,R5,80.3,247.8
40,8,R1,76.3,278
40,8,R2,88.3,265.9
40,8,R3,81.3,271.9
40,8,R4,82.3,292
40,8,R5,82.3,263.9
40,9,R1,82.3,305
40,9,R2,82.3,308
40,9,R3,82.3,282
40,9,R4,60.2,296
40,9,R5,44.1,291
40,10,R1,88.3,262.8
40,10,R2,72.2,264.8
40,10,R3,85.2,273.9
40,10,R4,73.2,272.9
40,10,R5,74.2,256.8
40,11,R1,71.2,291.9
40,11,R2,90.3,278.9
40,11,R3,106.3,281.9
40,11,R4,97.3,269.9
40,11,R5,76.2,265.8
40,12,R1,85.2,258.8
40,12,R2,85.2,219.7
40,12,R3,74.2,255.8
40,12,R4,78.2,247.8
40,12,R5,69.2,235.7
40,13,R1,111.4,758.7
40,13,R2,123.4,743.6
40,13,R3,49.1,697.5
40,13,R4,111.4,761.7
40,13,R5,117.4,772.8
40,14,R1,132.4,420.5
