T,OTU,Replicate,group,otu_label,r,K,delta_Ninoc_to_N0_min,cell_carbon_fg,N_inoculation_cells_per_L,N0_cells_per_L,CUE,growth_fgC_h,respiration_fgC_h,B_bp,B_free
34,8,R1,Clade3,Clade3_2075,0.01519766760425769,0.00494308908520262,72.2,1300,42000000,125831186.54561327,0.5726208438573315,1185.4180731321003,884.7442093772095,0.10856316458074247,0.3252531384367028
34,8,R2,Clade3,Clade3_2075,0.0120901458473296,0.00525053320454028,67.2,1300,42000000,94644467.0711914,0.4301223471458445,943.031376091709,1249.4410270497835,0.19271961955738767,0.43428204017075495
34,8,R3,Clade3,Clade3_2075,0.01282614870075535,0.00568092632409888,84.2,1300,42000000,123671806.97201943,0.49161640536783463,1000.4395986589176,1034.560836101541,0.15041857512152784,0.44291754731989985
34,8,R4,Clade3,Clade3_2075,0.01462266750647649,0.00529620745827299,77.2,1300,42000000,129870727.23005629,0.5539345731922667,1140.5680655051667,918.462225621442,0.1171322272763038,0.36219160805832856
34,8,R5,Clade3,Clade3_2075,0.01540346460957952,0.0061370748052181,71.2,1300,42000000,125762637.19026878,0.5222602838716721,1201.470239547203,1099.0497820794535,0.13305789743580007,0.39842171620282174
34,9,R1,Clade3,Clade3_2076,0.0132293116127425,0.00453407445618131,67.2,1300,42000000,102174216.23996869,0.507987525218975,1031.8863057939154,999.4358321839944,0.14088325487735043,0.34272943210545287
34,9,R2,Clade3,Clade3_2076,0.01247807554418567,0.00577624293492542,69.2,1300,42000000,99599032.02720994,0.4269836871225654,973.2898924464824,1306.164620219947,0.19520548315947256,0.4629113611687452
34,9,R3,Clade3,Clade3_2076,0.01531352152005085,0.00433352749537866,86.3,1300,42000000,157468671.19996217,0.6583703452853154,1194.4546785639664,619.8048595783997,0.07547821326791158,0.2829869987582236
34,9,R4,Clade3,Clade3_2076,0.01202966025961127,0.00538971318505993,73.2,1300,42000000,101315635.64922616,0.43919822710357687,938.3135002496792,1198.1101971720211,0.18573130464149615,0.4480353616598392
34,9,R5,Clade3,Clade3_2076,0.01233744397501256,0.00637364725302123,83.2,1300,42000000,117230837.01588903,0.4400575338196181,962.3206300509802,1224.485767053996,0.1850845873439978,0.5166100260256494
34,10,R1,Clade4,Clade4_2077,0.01149885346699057,0.00496003280439237,63.2,1300,42000000,86868645.63127652,0.4108849189859808,896.9105704252648,1285.964801683165,0.20855290759365147,0.43135020536012525
34,10,R2,Clade4,Clade4_2077,0.0127787977787056,0.00565119404460291,72.2,1300,42000000,105667652.82622412,0.4528105707069405,996.7462267390368,1204.4970551545125,0.17577513981708734,0.44223205832554735
34,10,R3,Clade4,Clade4_2077,0.01171612243367018,0.00469841644042614,57.2,1300,42000000,82091281.8559583,0.41484584448005,913.8575498262747,1289.0271168181855,0.20517283492240837,0.40102145287622426
34,10,R4,Clade4,Clade4_2077,0.01329271080985598,0.00416345877040459,65.2,1300,42000000,99918450.9790912,0.5249002629320998,1036.8314431687668,938.4608483172626,0.1316571075374982,0.31321367251272497
34,10,R5,Clade4,Clade4_2077,0.0157275126980811,0.0041026098479642,69.2,1300,42000000,124712800.40171526,0.6234602162852917,1226.7459904503255,740.8951812021954,0.08784932577866479,0.26085560550618764
34,11,R1,Clade4,Clade4_2078,0.01513433200012109,0.00406410465604935,74.2,1300,42000000,129106423.5096116,0.6247757377658192,1180.4778960094454,708.9647065967342,0.08735807714915725,0.2685354501286765
34,11,R2,Clade4,Clade4_2078,0.01407821387940794,0.00453335201783564,76.2,1300,42000000,122784344.02034128,0.5690695296618301,1098.1006825938196,831.5416991488237,0.11014839691525258,0.322011872860273
34,11,R3,Clade4,Clade4_2078,0.0156111319850526,0.00423363956399548,80.2,1300,42000000,146889764.40937918,0.6522772198132191,1217.6682948341036,649.1273832102493,0.07754204344726885,0.27119363080455144
34,11,R4,Clade4,Clade4_2078,0.01744816355476907,0.00382025641945887,94.3,1300,42000000,217681163.94310057,0.7749381188987376,1360.9567572719882,395.25670556042473,0.04224460270222497,0.21894891158414706
34,11,R5,Clade4,Clade4_2078,0.01473295209542777,0.00450218703230939,66.2,1300,42000000,111384819.38757008,0.5579814516016278,1149.1702634433668,910.3431131120598,0.11522773931639256,0.3055862126712949
34,12,R1,Clade4,Clade4_2079,0.01345227909964406,0.00669357189719319,62.2,1300,42000000,96969973.4268078,0.40296206261223255,1049.2777697722368,1554.6342783501425,0.21551330009874953,0.497579023421414
34,12,R2,Clade4,Clade4_2079,0.01399079268618254,0.00675520438786875,78.2,1300,42000000,125430222.30057123,0.47359840752816296,1091.2818295222387,1212.9527544112905,0.16167514936028093,0.4828321410651924
34,12,R3,Clade4,Clade4_2079,0.01593904387395637,0.00494616373265241,77.2,1300,42000000,143762668.62403747,0.6160421749962869,1243.2454221685969,774.8719610707738,0.09065867911661478,0.31031746770797236
34,12,R4,Clade4,Clade4_2079,0.01614087548038819,0.00430096976655074,70.2,1300,42000000,130419878.06277768,0.6289542027357533,1258.9882874702791,742.7286610675882,0.08581136357868713,0.2664644660555489
34,12,R5,Clade4,Clade4_2079,0.01482738054197353,0.00682339717584066,66.2,1300,42000000,112083284.90371329,0.45755731875972494,1156.5356822739357,1371.0944852619973,0.17244263774938617,0.46018898324791113
34,16,R1,para,para_2051,0.00861675477604334,0.008834326020394,52.1,3800,14000000,21932953.972942173,0.17801567248415504,1964.620088937882,9071.599708578826,0.6544260782583735,1.0252497895095682
34,16,R2,para,para_2051,0.00992373545343636,0.00931889965321679,55.2,3800,14000000,24211979.38628738,0.20698901793780583,2262.6116833834903,8668.459471625027,0.5429842057517943,0.9390515997672904
34,16,R3,para,para_2051,0.00986153275891675,0.00759549668345888,58.2,3800,14000000,24853498.71976864,0.2462303953578929,2248.4294690330203,6882.975554156563,0.4338626431969854,0.7702146176608367
34,16,R4,para,para_2051,0.01049351500140948,0.01137503009802098,64.2,3800,14000000,27460290.867908712,0.20410610815245447,2392.5214203213613,9329.427726513077,0.552655465460912,1.0840057022354372
34,16,R5,para,para_2051,0.00966273574107375,0.01047396647794302,54.2,3800,14000000,23636156.785152186,0.1808288421732371,2203.1037489648156,9980.261042223774,0.6420402433213032,1.083954560965684
34,17,R1,para,para_2052,0.01595737772709161,0.00496873413826724,76.2,3800,14000000,47229066.20183484,0.6056018853838282,3638.2821217768874,2369.430551493536,0.09230025715529064,0.3113753539738287
34,17,R2,para,para_2052,0.01589768101875312,0.00572752852384718,84.2,3800,14000000,53390993.537463695,0.6000389730949258,3624.671272275711,2416.055138510761,0.0944699129175611,0.36027446500473304
34,17,R3,para,para_2052,0.01053802325011569,0.00656920325053811,63.2,3800,14000000,27250187.423782445,0.30677375736335993,2402.669301026379,5429.386875084289,0.32026692405758744,0.6233809790148253
34,17,R4,para,para_2052,0.01272730397777755,0.00627231158919661,77.2,3800,14000000,37397550.09148691,0.4344558915804968,2901.825306933283,3777.391992610755,0.1844913848678346,0.49282327193161646
34,17,R5,para,para_2052,0.01302108717837082,0.00666968929808226,76.2,3800,14000000,37760522.274625696,0.42735701911928514,2968.8078766685476,3978.09540056506,0.18991024748568167,0.5122221521687685
34,18,R1,para,para_2053,0.01123728700126845,0.00425174343301105,87.2,3800,14000000,37298337.55650673,0.49948834396263153,2562.1014362892083,2567.3504663579697,0.14201824361141402,0.378360313528623
34,18,R2,para,para_2053,0.01324215837990678,0.00320878749810193,88.2,3800,14000000,45015897.2102255,0.6528577005390672,3019.2121106187474,1605.3976751366656,0.07536059248947274,0.24231604894341394
34,18,R3,para,para_2053,0.00920657382797042,0.00315801770929596,70.2,3800,14000000,26718569.547562353,0.4408848674380111,2099.0988327772575,2662.005455004616,0.17973446089329848,0.3430176923908013
