T,OTU,Replicate,r,K,O2_0,T_end_min,delta_Ninoc_to_N0_min,N0_cells_per_L,growth_fgC_h,respiration_fgC_h,CUE,resp_over_growth
44,9,R2,0.006735028450751156,0.008759819223616658,9.51566336935731,228.76,80.3,89684912.95368686,525.3322191585901,2199.8007007392553,0.19277306267258432,4.1874467632360615
44,9,R3,0.007412002589509869,0.009454247409653916,8.490420376552457,210.72,85.3,100712267.62610039,578.1362019817698,2114.229712460014,0.2147316599429006,3.6569751301038256
44,9,R4,0.006949675792236264,0.010255751506588775,8.735915628890167,208.72,83.3,93961142.39589743,542.0747117944286,2458.2541692924747,0.18067176408942737,4.534899186045632
44,10,R1,0.0081639035566636875,0.00690094566799786,8.5648597016496,229.7,81.2,91371202.33009161,636.7844774197677,1701.0099410816924,0.2723868584766107,2.6712490668336257
44,10,R2,0.009001875255617056,0.010520411054239355,9.086433990069425,178.57,95.3,112811114.89458461,702.1462699381304,2100.334184577912,0.25054457339984676,2.991305764200645
44,10,R3,0.009936573837359491,0.008683425625684912,8.917591302568049,203.61999999999998,81.2,108169665.26332325,775.0527593140404,1807.9781866760986,0.30005554541157214,2.332716276342591
44,10,R4,0.011296442263318596,0.009407031994435029,8.77225658560587,179.57000000000002,89.3,135353271.17141882,881.1224965388504,1565.2778811230146,0.36017101067527585,1.7764588774791297
44,10,R5,0.011923730152991526,0.006616747781701841,8.733711294630256,200.63,75.2,121292695.04139808,930.0509519333391,1228.6198222697212,0.4308442783623158,1.3210242080992805
44,11,R1,0.007016183812371023,0.003986803808934764,6.824022561333579,316.02000000000004,65.2,74525125.67419274,547.2623373649399,1204.8409801410978,0.3123459284033083,2.2015784713824624
44,11,R2,0.0075201183401713955,0.011847074690129128,9.116959378651252,190.59999999999997,101.3,103167693.6975135,586.5692305333689,2586.2767029412535,0.1848716397934298,4.409158490276664
44,11,R3,0.011387414090436318,0.0073568164437916896,9.594991130729037,186.59,90.3,143967736.70182776,888.2182990540329,1150.8860510975255,0.4355923712231869,1.2957243194868178
44,11,R4,0.010587287834401412,0.008290544974281881,9.07509164406518,197.61,81.2,119435309.13896203,825.80845108331,1563.3561444502575,0.34564736671015495,1.8931219974794633
44,11,R5,0.009456257112061852,0.00912806411447688,9.22542801300071,202.63,82.2,107879529.44989713,737.5880547408244,1905.6679136094424,0.279045262196523,2.583648015122833
44,12,R4,0.006761355411709481,0.012125452001758436,9.356644861230766,190.62,84.2,91144832.77177173,527.3857221133395,2996.218406423794,0.14967223980756603,5.6812656861800335
44,14,R1,0.00232275082118936,0.0020423255558122857,9.656133055787631,792.8499999999999,136.4,134180884.3572714,111.49203941708929,342.8008618617187,0.24541884564615846,3.074666708528922
44,14,R2,0.0014976396900915048,0.0024561300846846004,9.765203153874888,886.1700000000001,152.5,108701640.942418,71.88670512439224,508.88874743686637,0.12377710663797352,7.079038419639472
44,14,R3,0.0016055433088672053,0.002751209192878894,9.56867168900401,742.6500000000001,127.4,107565715.90085709,77.06607882562585,576.0462121865995,0.11799820625973073,7.474705096777985
44,14,R4,0.001611646765695845,0.003326110280434564,9.660938141444921,665.39,152.5,112528385.5242762,77.35904475340055,665.7054920681937,0.10410811029187096,8.605399590833631
44,14,R5,0.0013986549119442801,0.00354187071092365,9.689451266355887,686.46,121.4,100642400.5463105,67.13543577332544,792.609549048572,0.07808761546568724,11.806128014491794
44,15,R1,0.0032842341125785828,0.0034081839159114773,9.451788659251912,586.0500000000001,113.4,149144395.50232297,157.643237403772,514.6638537410741,0.23448099756813115,3.264737912117755
44,15,R2,0.003925634616877161,0.0046945338241078695,9.91272953425476,453.58000000000004,102.4,165213129.26320246,188.43046161010372,639.9639328110321,0.22746467489289912,3.396287029934851
44,15,R3,0.002406159682636931,0.007101914297423057,10.425015705509766,450.59999999999997,127.4,125894359.80152921,115.49566476657269,1270.5060478734433,0.08333010249069597,11.000465259377938
