"gene","logFC","logCPM","PValue","FDR","is_metab"
"CJI97_000935",-2.49054287479995,5.74223387780608,5.26427792467193e-68,6.31245415145105e-66,FALSE
"CJI97_005630",-3.1832816602059,1.18247535483469,1.17871151915535e-67,1.38267986029614e-65,FALSE
"CJI97_000015",-4.87425151044172,5.8497358821295,4.22034777460335e-66,4.84531842377866e-64,TRUE
"CJI97_001784",8.48158382832182,3.14564538756209,1.76915227312396e-65,1.98882201370352e-63,FALSE
"CJI97_004563",7.82675191173751,3.0297182319666,2.45894757883434e-63,2.70785329293676e-61,FALSE
"CJI97_001782",7.01197088863141,0.847156919062902,2.99177007996842e-61,3.22871827030191e-59,TRUE
"CJI97_003903",2.69763845087636,8.22877674669618,2.65321625380896e-60,2.80720684422611e-58,TRUE
"CJI97_003118",-4.72015096026961,6.83150992898682,9.09704370712483e-60,9.43993227762415e-58,TRUE
"CJI97_001896",-1.70628460351607,5.49551255025571,1.52498910765083e-59,1.55261155186489e-57,FALSE
"CJI97_001783",6.02602819167756,1.24087101700688,1.78840893348026e-59,1.78708418612213e-57,TRUE
"CJI97_004677",-2.70663908112831,8.59078972232807,1.8780974652075e-59,1.84258434950175e-57,TRUE
"CJI97_004565",8.43426277621958,1.52240236815368,2.599117344946e-59,2.5044352130944e-57,FALSE
"CJI97_004547",6.61085133432786,1.57795333231524,6.68460197499326e-59,6.32808986966029e-57,FALSE
"CJI97_003956",2.53950969940234,7.90110046144518,1.42747899882625e-58,1.32804770304593e-56,FALSE
"CJI97_004349",-3.44559181454592,1.32658873445297,1.68171546677912e-56,1.53805706080341e-54,FALSE
"CJI97_001785",6.30836147665113,1.51131616341638,4.46259422512727e-56,4.01335973979779e-54,TRUE
"CJI97_004561",7.64205006236958,4.95550625492663,6.43485786514864e-56,5.69221197382656e-54,FALSE
"CJI97_001852",-2.45247885609791,5.04534320647195,6.12469615675828e-54,5.33046136481737e-52,FALSE
"CJI97_000213",-2.87709084391226,8.32987985967991,4.64666031290293e-53,3.97990143625782e-51,FALSE
"CJI97_004868",-2.47405081329594,3.66377261139337,9.12523275188701e-53,7.69371186393474e-51,FALSE
"CJI97_000948",-2.52170327893373,3.2556888790228,5.82828288168216e-52,4.83837145070107e-50,FALSE
"CJI97_003274",-2.00125336025193,7.09726684479527,1.71837187847695e-51,1.40489919034267e-49,TRUE
"CJI97_004961",-1.73928901717936,8.00274086992147,2.03850663296921e-50,1.64175847634356e-48,FALSE
"CJI97_004998",-2.43928960036828,10.5984655691341,2.23052433749718e-50,1.769986665461e-48,TRUE
"CJI97_002009",2.92669971227221,2.79519622035435,5.88541553596466e-50,4.60256554087903e-48,FALSE
"CJI97_005556",-1.34219164842587,6.70932395859603,1.01761061439131e-48,7.84432410750784e-47,FALSE
"CJI97_004544",8.90939777539214,3.21917198098324,1.84749106873281e-48,1.40409321223693e-46,FALSE
"CJI97_003277",-3.32584334356201,8.20634651578066,4.31443616253234e-48,3.23343021292007e-46,FALSE
"CJI97_002153",-1.42489945653834,5.12981175711361,4.9500141511992e-48,3.6589419671056e-46,TRUE
"CJI97_004322",-1.555456463884,5.28425246860301,3.60633359722904e-47,2.62969947170918e-45,FALSE
"CJI97_000349",-2.64399755034222,4.10711243816744,4.92549897620116e-47,3.54373233007753e-45,FALSE
"CJI97_004899",-1.87323028519459,3.42612852378056,1.54212588863452e-46,1.09490938093051e-44,FALSE
"CJI97_000434",-2.71761300948015,10.5300532169862,2.6081291870584e-45,1.82772273939833e-43,TRUE
"CJI97_001149",-2.52205215734728,4.46155033767354,4.97548808625843e-45,3.44201714275007e-43,FALSE
"CJI97_002126",5.56599181533072,1.60134563462812,1.37566975496708e-44,9.39634683266122e-43,FALSE
"CJI97_001854",-2.86074915799847,6.02355729202292,5.01811868858208e-44,3.38472105544861e-42,FALSE
"CJI97_003602",2.64730265049789,3.46740625369336,7.69162441024559e-43,5.1239512737883e-41,FALSE
